"User-ID";"Top-Rated ISBNs";"Jaccard-Value";"Dice-Coefficient"
"277187";"0140430032";"0.250000";"0.333333"
"277187";"0140430350";"0.250000";"0.333333"
"277187";"0140430423";"0.250000";"0.333333"
"277187";"0140430636";"0.250000";"0.333333"
"277187";"0140430741";"0.250000";"0.333333"
"277187";"0140431314";"0.250000";"0.333333"
"277187";"0140431683";"0.250000";"0.333333"
"277187";"0140440224";"0.250000";"0.333333"
"277187";"0330330276";"0.750000";"0.833333"
"277187";"0349109435";"0.250000";"0.333333"
"277187";"0375724370";"0.500000";"0.500000"
"277187";"038549744X";"0.250000";"0.333333"
"277187";"0399141960";"0.250000";"0.333333"
"277187";"0399148515";"0.250000";"0.333333"
"277187";"0451208188";"0.250000";"0.333333"
"277187";"0505525178";"0.250000";"0.333333"
"277187";"0679416781";"0.250000";"0.333333"
"277187";"0679746692";"0.500000";"0.500000"
"277187";"0679772669";"0.500000";"0.500000"
"277187";"1853260967";"0.250000";"0.333333"
"277187";"3423084049";"0.500000";"0.500000"
"225066";"002089130X";"0.125000";"0.200000"
"225066";"0060924640";"0.125000";"0.200000"
"225066";"0061007129";"0.125000";"0.200000"
"225066";"0140259112";"0.125000";"0.200000"
"225066";"0140271562";"0.125000";"0.200000"
"225066";"0373250428";"0.125000";"0.200000"
"225066";"0373250452";"0.125000";"0.200000"
"225066";"0373765142";"0.125000";"0.200000"
"225066";"0446602213";"0.125000";"0.200000"
"225066";"0446603716";"0.125000";"0.200000"
"225066";"0446604801";"0.125000";"0.200000"
"225066";"0446606189";"0.125000";"0.200000"
"225066";"0449243761";"0.125000";"0.200000"
"225066";"0451209028";"0.125000";"0.200000"
"225066";"0451410580";"0.125000";"0.200000"
"225066";"0505523418";"0.125000";"0.200000"
"225066";"0671027972";"0.125000";"0.200000"
"225066";"0671521705";"0.125000";"0.200000"
"225066";"0671522647";"0.125000";"0.200000"
"225066";"0684859262";"0.125000";"0.200000"
"225066";"0786864133";"0.125000";"0.200000"
"225066";"0786887583";"0.125000";"0.200000"
"225066";"0805037586";"0.125000";"0.200000"
"225066";"0812555112";"0.125000";"0.200000"
"225066";"089480619X";"0.125000";"0.200000"
"74487";"0020442009";"0.166667";"0.250000"
"74487";"0020442106";"0.166667";"0.250000"
"74487";"0020442300";"0.250000";"0.392857"
"74487";"0020442408";"0.166667";"0.250000"
"74487";"0020442505";"0.166667";"0.250000"
"74487";"0020442602";"0.166667";"0.250000"
"74487";"0020868804";"0.166667";"0.250000"
"74487";"0060234814";"0.166667";"0.250000"
"74487";"0060234970";"0.250000";"0.392857"
"74487";"0060652926";"0.166667";"0.250000"
"74487";"0060652934";"0.166667";"0.250000"
"74487";"0064404994";"0.166667";"0.250000"
"74487";"0064405001";"0.166667";"0.250000"
"74487";"0064405028";"0.166667";"0.250000"
"74487";"0064405036";"0.166667";"0.250000"
"74487";"0064405044";"0.166667";"0.250000"
"74487";"0064405052";"0.250000";"0.392857"
"74487";"0064409422";"0.166667";"0.250000"
"74487";"0064471047";"0.166667";"0.250000"
"74487";"0064471055";"0.166667";"0.250000"
"74487";"0064471063";"0.166667";"0.250000"
"74487";"0064471071";"0.166667";"0.250000"
"74487";"006447108X";"0.166667";"0.250000"
"74487";"0064471098";"0.166667";"0.250000"
"74487";"0066238501";"0.166667";"0.250000"
"74487";"0151002630";"0.083333";"0.142857"
"74487";"0156006219";"0.083333";"0.142857"
"74487";"0156329301";"0.166667";"0.250000"
"74487";"0156904365";"0.166667";"0.250000"
"74487";"0345300777";"0.083333";"0.142857"
"74487";"0345335457";"0.083333";"0.142857"
"74487";"0399142606";"0.083333";"0.142857"
"74487";"0425164829";"0.083333";"0.142857"
"74487";"0452279593";"0.083333";"0.142857"
"74487";"0525944001";"0.083333";"0.142857"
"74487";"0684823780";"0.166667";"0.250000"
"74487";"0800783360";"0.166667";"0.250000"
"42113";"0007141076";"0.125000";"0.200000"
"42113";"0007154615";"0.125000";"0.200000"
"42113";"0060083255";"0.125000";"0.200000"
